"hospital_id","name","population","bed","owner_id","county_id"
"10129180","FAIRFIELD MEMORIAL HOSPITAL","25","25","5","45039"
"10131069","PERRY HOSPITAL","39","39","2","13153"
"10136685","PROVIDENCE HOSPITAL","349","349","2","1097"
"10137650","UNICOI COUNTY MEMORIAL HOSPITAL","10","10","2","47171"
"10138668","NORTH OAK REGIONAL MEDICAL CENTER","76","76","1","28137"
"1014048","BROOKS - TLC HOSPITAL SYSTEM, INC","65","65","2","36013"
"10141075","ST ELIZABETH FT THOMAS","178","178","2","21037"
"10144122","UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER, INC","144","144","2","39035"
"10146226","OPTIONS BEHAVIORAL HEALTH SYSTEM","56","56","1","18097"
"10148336","BEAUMONT HOSPITAL - FARMINGTON HILLS","305","305","2","26125"
"1015132","SELECT SPECIALTY HOSPITAL - MCKEESPORT, INC","33","33","1","42003"
"10152803","GENESIS MEDICAL CENTER","502","502","2","19163"
"10154001","AMERY HOSPITAL AND CLINIC BEHAVIORAL HEALTH CENTER","10","10","2","55095"
"101561342","MENDOTA COMMUNITY HOSPITAL","25","25","0","17099"
"10156220","SANFORD CANBY MEDICAL CENTER","25","25","1","27173"
"10160453","ADVOCATE CHRIST HOSPITAL AND MEDICAL CENTER","802","802","2","17031"
"10164154","SAINT LUKE'S NORTH HOSPITAL","97","97","2","29165"
"10167473","OSBORNE COUNTY MEMORIAL HOSPITAL","16","16","5","20141"
"10168124","SELECT SPECIALTY HOSPITAL - OMAHA, INC","52","52","1","31055"
"10170445","NORTHSHORE EXTENDED CARE HOSPITAL","58","58","1","22103"
"10172143","UNITY HEALTH WHITE COUNTY MEDICAL CENTER","245","245","2","5145"
"10174525","ATOKA COUNTY MEDICAL CENTER","25","25","3","40005"
"10178834","DIMMIT REGIONAL HOSPITAL","25","25","2","48127"
"10180758","WRAY COMMUNITY DISTRICT HOSPITAL","16","16","3","8125"
"101854","LOWELL GENERAL HOSPITAL","239","239","2","25017"
"10186314","WINDHAVEN PSYCHIATRIC HOSPITAL","16","16","2","4025"
"10192392","DESERT VALLEY HOSPITAL","148","148","1","6071"
"1019973","NANTICOKE MEMORIAL HOSPITAL","139","139","2","10005"
"10202135","FRANCISCAN CHILDREN'S HOSPITAL AND REHAB CENTER","112","112","2","25025"
"10208857","RARITAN BAY MEDICAL CENTER - OLD BRIDGE DIVISION","113","113","1","34023"
"10210901","GOOD SAMARITAN HOSPITAL OF SUFFERN","286","286","2","36087"
"1021205","KENNEDY KRIEGER INSTITUTE","70","70","2","24510"
"10214215","BUFFALO VA MEDICAL CENTER","199","199","6","36029"
"10219403","MONTGOMERY COUNTY MH/MR EMERGENCY SERVICES, INC","73","73","2","42091"
"10223230","VIBRA HOSPITAL OF RICHMOND LLC","60","60","1","51087"
"10228359","SOUTHEASTERN REGIONAL MEDICAL CENTER","337","337","1","37155"
"10229566","MCLEOD SEACOAST","118","118","2","45051"
"10230143","PIEDMONT MOUNTAINSIDE HOSPITAL INC","52","52","2","13227"
"10232803","ADVENTHEALTH ORLANDO","1400","1400","2","12095"
"10235582","RED BAY HOSPITAL","25","25","3","1059"
"10237604","JOHNSON CITY MEDICAL CENTER","585","585","2","47179"
"10238663","TIPPAH COUNTY HOSPITAL","25","25","5","28139"
"10241097","ST ELIZABETH GRANT","25","25","2","21081"
"102442431","BAPTIST HEALTH MADISONVILLE","390","390","2","21107"
"10244307","AKRON GENERAL MEDICAL CENTER","541","541","2","39153"
"10246845","ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC","37","37","1","18003"
"10248342","MCLAREN OAKLAND","280","280","2","26125"
"1026038","REYNOLDS MEMORIAL HOSPITAL","94","94","2","54051"
"10261603","METHODIST MEDICAL CENTER OF ILLINOIS","329","329","0","17143"
"102640475","BAPTIST HEALTH RICHMOND","105","105","2","21151"
"10265613","CITIZENS MEMORIAL HOSPITAL","86","86","3","29167"
"10267356","OSWEGO COMMUNITY HOSPITAL","12","12","1","20099"
"10268105","DOUGLAS COUNTY","16","16","5","31055"
"10273932","BEAVER COUNTY MEMORIAL HOSPITAL","24","24","3","40007"
"10275633","UT HEALTH EAST TEXAS CARTHAGE HOSPITAL","42","42","1","48365"
"1027804","NASH GENERAL HOSPITAL","345","345","3","37127"
"10280759","YUMA DISTRICT HOSPITAL","12","12","3","8125"
"102840","NEWPORT HOSPITAL","129","129","2","44005"
"10286301","YAVAPAI REGIONAL MEDICAL CENTER","146","146","2","4025"
"1029512","MARLBORO PARK HOSPITAL","94","94","1","45069"
"10295336","DOCTORS HOSPITAL OF MANTECA","73","73","1","6077"
"10298109","SEATTLE CANCER CARE ALLIANCE","20","20","2","53033"
"103020850","ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER","329","329","2","24031"
"10302131","HEBREW REHABILITATION CENTER","675","675","2","25025"
"10307728","CENTRASTATE MEDICAL CENTER","284","284","1","34025"
"10310970","SUMMIT PARK HOSPITAL AND NURSING CARE CENTER","378","378","5","36087"
"10319401","NORRISTOWN STATE HOSPITAL","374","374","4","42091"
"103221207","UMD REHABILITATION AND ORTHOPAEDIC INSTITUTE","136","136","0","24510"
"10323294","HENRICO DOCTOR'S HOSPITAL - PARHAM DOCTORS' HOSPITAL","340","340","1","51087"
"10328722","ST. LUKE'S HOSPITAL","35","35","2","37149"
"10329401","RALPH H. JOHNSON DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER","98","98","6","45019"
"103301","CONCORD HOSPITAL","295","295","2","33013"
"103321201","UNIVERSITY OF MD MEDICAL CENTER MIDTOWN CAMPUS","180","180","4","24510"
"10335999","RIVERVIEW REGIONAL MEDICAL CENTER","281","281","1","1055"
"10337601","QUILLEN REHABILITATION HOSPITAL - A JOINT VENTURE OF BALLAD HEALTH","36","36","2","47179"
"10341014","ST. ELIZABETH COVINGTON","151","151","2","21117"
"10346580","OTIS R BOWEN CENTER FOR HUMAN SERVICES INC","16","16","2","18085"
"10348307","ASCENSION PROVIDENCE ROCHESTER HOSPITAL","270","270","2","26125"
"10350022","CASS COUNTY MEMORIAL HOSPITAL","33","33","5","19029"
"103520850","ADVENTIST HEALTHCARE REHABILITATION AT ROCKVILLE","87","87","2","24031"
"10354481","ASPIRUS STEVENS POINT HOSPITAL","94","94","2","55097"
"1035601","DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS","120","120","1","1103"
"10356621","SANFORD BAGLEY MEDICAL CENTER","25","25","1","27029"
"10362946","HARRISBURG MEDICAL CENTER, INC","77","77","2","17165"
"10363565","PUTNAM COUNTY MEMORIAL HOSPITAL","15","15","5","29171"
"10366067","ADVENTHEALTH OTAWA","44","44","2","20059"
"103720735","MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER","182","182","2","24033"
"10373015","CARNEGIE TRI - COUNTY MUNICIPAL HOSPITAL","17","17","5","40015"
"1038201","GIBSON GENERAL HOSPITAL","77","77","1","47017"
"103821061","UMD BALTIMORE WASHINGTON MEDICAL CENTER","285","285","0","24003"
"10386314","YAVAPAI REGIONAL MEDICAL CENTER - EAST CAMPUS","72","72","2","4025"
"10391790","WEST COVINA MEDICAL CENTER","13","13","1","6037"
"103921014","UMD UPPER CHESAPEAKE MEDICAL CENTER","161","161","4","24025"
"1039216","ST. DOMINIC - JACKSON MEMORIAL HOSPITAL","571","571","2","28049"
"10398902","VIRGINIA MASON MEMORIAL HOSPITAL","226","226","2","53077"
"104021078","UNIVERSITY OF MD HARFORD MEMORIAL HOSPITAL","82","82","2","24025"
"10402130","LEMUEL SHATTUCK HOSPITAL","119","119","4","25025"
"10412511","VA MEDICAL CENTER - CASTLE POINT CAMPUS","250","250","6","36027"
"10413669","CLAXTON - HEPBURN MEDICAL CENTER","115","115","2","36089"
"10416673","CONEMAUGH NASON MEDICAL CENTER","45","45","1","42013"
"1042539","CASEY COUNTY HOSPITAL","24","24","2","21045"
"10428002","ATRIUM HEALTH STANLY","109","109","3","37167"
"10435010","RUSSELL MEDICAL CENTER","81","81","2","1123"
"10437604","WOODRIDGE PSYCHIATRIC HOSPITAL","585","585","2","47179"
"10438652","BAPTIST MEMORIAL HOSPITAL - UNION COUNTY","153","153","2","28145"
"104401","NORTHERN LIGHT ACADIA HOSPITAL","100","100","2","23019"
"104420876","HOLY CROSS GERMANTOWN HOSPITAL","70","70","0","24031"
"10442141","T J SAMSON COMMUNITY HOSPITAL","180","180","2","21009"
"1044501","MERCY HEALTH ST. ELIZABETH YOUNGSTOWN HOSPITAL","520","520","2","39099"
"10445750","MARIETTA MEMORIAL HOSPITAL","221","221","2","39167"
"10446750","PARKVIEW HUNTINGTON HOSPITAL","36","36","2","18069"
"10448085","BEAUMONT HOSPITAL - TROY","530","530","2","26125"
"10450219","PELLA REGIONAL HEALTH CENTER CAH","25","25","2","19125"
"10454024","ST CROIX REGIONAL MEDICAL CENTER","25","25","2","55095"
"10456296","SANFORD MEDICAL CENTER WHEATON","25","25","1","27155"
"10460134","DELNOR COMMUNITY HOSPITAL","159","159","2","17089"
"10465270","MOBERLY REGIONAL MEDICAL CENTER","99","99","1","29175"
"10466213","PINNACLE REGIONAL HOSPITAL INC","4","4","1","20091"
"10471103","OCHSNER LSU HEALTH SHREVEPORT","244","244","4","22017"
"1047201","COLUMBUS REGIONAL HOSPITAL","198","198","5","18005"
"10473632","CORDELL MEMORIAL HOSPITAL","14","14","5","40149"
"10477530","KINDRED HOSPITAL EAST HOUSTON","83","83","1","48201"
"10485364","YUMA REGIONAL MEDICAL CENTER","405","405","2","4027"
"104868506","MADONNA REHABILITATION HOSPITAL LINCOLN","67","67","1","31109"
"1048879","SPARROW CLINTON HOSPITAL","25","25","2","26037"
"10495350","DOCTORS MEDICAL CENTER","394","394","1","6099"
"104968122","ALEGENT HEALTH","352","352","1","31055"
"10498034","FAIRFAX BEHAVIORAL HEALTH","134","134","1","53033"
"10502114","THE SHRINERS' HOSPITAL FOR CHILDREN - BOSTON","9","9","2","25025"
"105068661","ALEGENT CREIGHTON HEALTH MEMORIAL HOSP SCHUYLER","25","25","1","31037"
"10508861","RARITAN BAY MEDICAL CENTER","347","347","1","34023"
"1051247","HEGG MEMORIAL HOSPITAL","25","25","2","19167"
"10513642","GOUVERNEUR HOSPITAL","25","25","2","36089"
"105168410","ST. MARY'S COMMUNITY HOSPITAL","18","18","2","31131"
"10518634","SPECIAL CARE HOSPITAL","67","67","1","42079"
"10527016","LIFEBRITE COMMUNITY HOSPITAL OF STOKES","59","59","1","37169"
"105301","BRATTLEBORO MEMORIAL HOSPITAL","61","61","2","50025"
"10531329","EFFINGHAM HEALTH SYSTEM","25","25","3","13103"
"10532701","ADVENTHEALTH ALTAMONTE SPRINGS","393","393","2","12117"
"10535653","RUSSELLVILLE HOSPITAL","100","100","2","1059"
"10537601","JOHNSON CITY SPECIALTY HOSPITAL","23","23","1","47179"
"10539667","WALTHALL GENERAL HOSPITAL","25","25","5","28147"
"10542718","TAYLOR REGIONAL HOSPITAL","90","90","2","21217"
"10543130","FAIRFIELD MEDICAL CENTER","245","245","2","39045"
"10546761","PARKVIEW LAGRANGE HOSPITAL","25","25","2","18087"
"1054724","MAYO CLINIC HEALTH SYSTEM - CHIPPEWA VALLEY","25","25","2","55017"
"10548322","HENRY FORD WEST BLOOMFIELD HOSPITAL","191","191","2","26125"
"10550273","MADISON COUNTY HEALTH CARE SYSTEM","25","25","5","19121"
"1055440","PARK NICOLLET METHODIST HOSPITAL","426","426","1","27053"
"10554552","MARSHFIELD MEDICAL CENTER - PARK FALLS","25","25","0","55099"
"10555731","ELY BLOOMENSON COMM HOSPITAL","21","21","1","27137"
"105568506","BRYAN MEDICAL CENTER","374","374","1","31109"
"10560451","SILVER CROSS HOSPITAL AND MEDICAL CENTERS","348","348","2","17197"
"10564085","RAY COUNTY MEMORIAL HOSPITAL","34","34","5","29177"
"10566212","CHILDREN'S MERCY HOSPITAL KANSAS","52","52","1","20091"
"105668124","ALEGENT HEALTH","396","396","1","31055"
"1057201","PRAIRIE LAKES HOSPITAL","81","81","2","46029"
"10574020","CLEVELAND AREA HOSPITAL","14","14","3","40117"
"10579201","CHILDRESS REGIONAL MEDICAL CENTER","39","39","2","48075"
"10581625","THE MEMORIAL HOSPITAL","25","25","5","8081"
"10585364","YUMA REHABILITATION HOSPITAL - AN AFFILIATION OF ENCOMPASS HEALTH AND YRMC","51","51","1","4027"
"105868526","NEBRASKA HEART HOSPITAL","63","63","1","31109"
"1058852","TIOGA MEDICAL CENTER","25","25","2","38105"
"1059047","LIVINGSTON HEALTHCARE","25","25","2","30067"
"105968510","CATHOLIC HEALTH INITIATIVES","258","258","2","31109"
"10598272","EVERGREENHEALTH MONROE","31","31","3","53061"
"1060035","NORTHSHORE UNIVERSITY HEALTHSYSTEM","139","139","2","17097"
"10602129","SPAULDING REHABILITATION HOSPITAL","264","264","2","25025"
"1060608","MT. SINAI HOSPITAL MEDICAL CENTER","288","288","2","17031"
"106068803","CATHOLIC HEALTH INITIATIVES","155","155","2","31079"
"10610468","JAMES J. PETERS DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER","311","311","6","36005"
"10613613","MASSENA HOSPITAL","25","25","2","36089"
"106168123","BELLEVUE MEDICAL CENTER, LLC","91","91","1","31153"
"10619034","BROOKE GLEN BEHAVIORAL HOSPITAL","146","146","1","42091"
"106268502","BRYAN MEDICAL CENTER","266","266","1","31109"
"10628713","SWAIN COMMUNITY HOSPITAL","48","48","2","37173"
"10629506","MUSC HEALTH FLORENCE REHABILITATION CENTER","66","66","3","45041"
"10635055","SANCTUARY AT THE WOODLANDS, THE","40","40","1","1043"
"106368130","ALEGENT HEALTH","157","157","1","31055"
"10639111","MAGEE GENERAL HOSPITAL","44","44","2","28127"
"10640207","THE BROOK HOSPITAL - DUPONT","88","88","1","21111"
"10645405","GRANDVIEW HOSPITAL","289","289","2","39113"
"10646755","PARKVIEW NOBLE HOSPITAL","31","31","2","18113"
"106468046","ALEGENT HEALTH","58","58","1","31153"
"106511","YALE-NEW HAVEN HOSPITAL SAINT RAPHAEL CAMPUS","511","511","2","9009"
"10653105","AURORA MEDICAL CENTER BURLINGTON","123","123","2","55101"
"10656751","LIFECARE MEDICAL CENTER","25","25","1","27135"
"106568123","MADONNA REHABILITATION SPECIALTY HOSPITAL","32","32","1","31153"
"10660123","PRESENCE CENTRAL AND SUBURBAN HOSPITALS NETWORK","184","184","2","17089"
"10663368","PROGRESS WEST HOSPITAL","76","76","2","29183"
"10666221","HEARTLAND SURGICAL SPEC HOSPITAL","48","48","1","20091"
"106668434","MEMORIAL HEALTH CARE SYSTEMS","24","24","2","31159"
"1066901","CLOUD COUNTY HEALTH CENTER","25","25","5","20029"
"10671282","MADISON PARISH HOSPITAL","25","25","2","22065"
"10674859","CREEK NATION COMMUNITY HOSPITAL","24","24","2","40107"
"106769154","REGIONAL WEST GARDEN COUNTY","10","10","5","31069"
"10679225","CHILLICOTHE HOSPITAL","21","21","3","48197"
"10685132","FLORENCE HOSPITAL","36","36","0","4021"
"106868502","SELECT SPECIALTY HOSPITAL - LINCOLN, INC","24","24","1","31109"
"1068818","MEMORIAL COMMUNITY HEALTH, INC","12","12","1","31081"
"106968847","GOOD SAMARITAN HOSPITAL","61","61","2","31019"
"10698372","MULTICARE GOOD SAMARITAN HOSPITAL","361","361","2","53053"
"10702559","CAPE COD AND ISLANDS COMMUNITY MENTAL HEALTH CENTER","10","10","4","25001"
"10708050","SOUTHERN OCEAN MEDICAL CENTER","156","156","1","34029"
"1071322","BUNKIE GENERAL HOSPITAL","20","20","3","22009"
"10713676","CANTON - POTSDAM HOSPITAL","94","94","2","36089"
"107168845","KEARNEY REGIONAL MEDICAL CENTER, LLC","93","93","1","31019"
"10718711","GEISINGER WYOMING VALLEY MEDICAL CENTER","310","310","2","42079"
"10723901","CENTRA SOUTHSIDE COMMUNITY HOSPITAL","116","116","2","51147"
"1072632","EUREKA SPRINGS HOSPITAL COMMISSION","15","15","1","5015"
"10728752","MISSION HOSPITAL MCDOWELL","65","65","2","37111"
"10729212","PRISMA HEALTH BAPTIST PARKRIDGE","76","76","2","45079"
"10730453","OPTIM MEDICAL CENTER - TATTNALL","25","25","1","13267"
"10735007","SHELBY BAPTIST MEDICAL CENTER","252","252","1","1117"
"107368848","GOOD SAMARITAN HOSPITAL","174","174","2","31019"
"10737167","TRISTAR STONECREST MEDICAL CENTER","115","115","1","47149"
"10738738","MEDICAL/DENTAL FACILITY AT PARCHMAN","56","56","4","28133"
"10740242","THE BROOK HOSPITAL - KMI","98","98","1","21111"
"10743210","THE OHIO STATE UNIVERSITY HOSPITALS","1142","1142","4","39049"
"1074631","STILLWATER MEDICAL - BLACKWELL","25","25","1","40071"
"10746805","PARKVIEW REGIONAL MEDICAL CENTER","725","725","2","18003"
"10748382","HURON VALLEY - SINAI HOSPITAL","158","158","1","26125"
"10753403","ASCENSION ALL SAINTS HOSPITAL","239","239","2","55101"
"10756278","ORTONVILLE AREA HEALTH SERVICE","25","25","5","27011"
"107568769","ALEGENT CREIGHTON HEALTH","15","15","1","31139"
"10760068","LUTHERAN GENERAL HOSPITAL - ADVOCATE","651","651","2","17031"
"107603766","MARY HITCHCOCK MEMORIAL HOSPITAL","396","396","2","33009"
"10766211","MIDAMERICA REHABILITATION HOSPITAL","98","98","1","20091"
"107663","KESSLER INSTITUTE FOR REHABILITATION, INC NORTH FACILITY","112","112","1","34003"
"107703062","NORTHEAST REHAB. HOSP. AT SNHMC - WEST","20","20","1","33011"
"10770586","MERCY REGIONAL MEDICAL CENTER","50","50","1","22039"
"10773933","CIMARRON MEMORIAL HOSPITAL","25","25","5","40025"
"107807962","ATLANTIC REHABILITATION INSTITUTE","38","38","2","34027"
"10785255","SCOTTSDALE LIBERTY HOSPITAL","12","12","0","4013"
"107907002","CAREPOINT HEALTH - BAYONNE MEDICAL CENTER","244","244","1","34017"
"1079119","NORTHWEST TEXAS SURGERY CENTER","4","4","1","48381"
"10795062","DOMINICAN HOSPITAL-SANTA CRUZ/FREDERICK","57","57","2","6087"
"10798122","SWEDISH MEDICAL CENTER - CHERRY HILL CAMPUS","246","246","2","53033"
"108","UPMC SHADYSIDE-ER","520","520","2","42003"
"108007306","CAREPOINT HEALTH - CHRIST HOSPITAL","349","349","1","34017"
"1080122","CENTURA HEALTH - LITTLETON ADVENTIST HOSPITAL","231","231","2","8005"
"10802302","ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE","187","187","1","25021"
"10808046","VIRTUA WILLINGBORO HOSPITAL","169","169","2","34005"
"108108901","CHILDREN'S SPECIALIZED HOSPITAL","68","68","1","34023"
"10811768","NORTHPORT VA MEDICAL CENTER","63","63","6","36103"
"10813690","CLIFTON - FINE HOSPITAL","20","20","2","36089"
"10815136","HERITAGE VALLEY KENNEDY","96","96","2","42003"
"1082001","MEMORIAL HOSPITAL OF LARAMIE COUNTY DBA CHEYENNE REGIONAL MEDICAL CENTER","229","229","3","56021"
"108207009","ESSEX COUNTY HOSPITAL CENTER","180","180","5","34013"
"10823223","BON SECOURS RICHMOND COMMUNITY HOSPITAL","104","104","2","51760"
"10827959","THE OUTER BANKS HOSPITAL, INC","21","21","2","37055"
"10829720","REBOUND BEHAVIORAL HEALTH","63","63","1","45057"
"108307724","ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TINTON FALLS","60","60","1","34025"
"10831750","DORMINY MEDICAL CENTER","75","75","3","13017"
"10832703","ADVENTHEALTH APOPKA","120","120","2","12095"
"10836340","WIREGRASS MEDICAL CENTER","83","83","3","1061"
"1083706","SAINT ALPHONSUS REGIONAL MEDICAL CENTER","362","362","2","16001"
"10838701","DELTA REGIONAL MEDICAL CENTER","227","227","5","28151"
"10840330","THE JAMES B HAGGIN MEMORIAL HOSPITAL","25","25","2","21167"
"108408096","INSPIRA MEDICAL CENTER WOODBURY","311","311","2","34015"
"10845428","DAYTON VA MEDICAL CENTER","460","460","6","39113"
"10846725","PARKVIEW WHITLEY HOSPITAL","30","30","2","18183"
"1084721","CEDAR CITY HOSPITAL","48","48","2","49021"
"10848075","SURGEONS CHOICE MEDICAL CENTER","45","45","1","26125"
"108508046","ACUITY SPECIALTY HOSPITAL OF SOUTHERN NEW JERSEY","69","69","1","34005"
"10850849","ADAIR COUNTY MEMORIAL HOSPITAL","25","25","5","19001"
"1085251","BANNER BEHAVIORAL HEALTH HOSPITAL","156","156","2","4013"
"10853405","ASCENSION ALL SAINTS HOSPITAL","314","314","2","55101"
"10860657","PRESENCE CHICAGO HOSPITALS NETWORK","338","338","2","17031"
"108608701","MONMOUTH MEDICAL CENTER - SOUTHERN CAMPUS","241","241","1","34029"
"10863935","SOUTHEASTHEALTH CENTER OF RIPLEY COUNTY","21","21","1","29181"
"10866209","MENORAH MEDICAL CENTER","190","190","1","20091"
"108708876","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET","353","353","1","34035"
"10871055","MINDEN MEDICAL CENTER","161","161","1","22119"
"1087114","LOVELACE WESTSIDE HOSPITAL","86","86","1","35001"
"10874637","FAIRFAX COMMUNITY HOSPITAL","15","15","2","40113"
"10876033","TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE","137","137","2","48251"
"108808701","SPECIALTY HOSPITAL OF CENTRAL JERSEY","50","50","1","34029"
"108908401","ACUITY SPECIALTY HOSPITAL OF NEW JERSEY","30","30","1","34001"
"1089103","DESERT WINDS HOSPITAL","154","154","1","32003"
"10895065","DOMINICAN HOSPITAL","222","222","2","6087"
"10898405","MULTICARE TACOMA GENERAL HOSPITAL","385","385","2","53053"
"109","UPMC PASSAVANT-CRANBERRY-ER","35","35","2","42019"
"109008068","ASPEN HILLS HEALTHCARE CENTER","30","30","1","34005"
"10902167","BOURNEWOOD HOSPITAL","170","170","1","25021"
"109107675","CARE ONE AT HUMC PASCACK VALLEY","25","25","1","34003"
"10912866","SARATOGA HOSPITAL","171","171","2","36091"
"10913210","SYRACUSE VA MEDICAL CENTER","106","106","6","36067"
"10919047","FOREST HEALTH MEDICAL CENTER OF BUCKS COUNTY","47","47","1","42017"
"109207207","CARE ONE AT TRINITAS REGIONAL MEDICAL CENTER","25","25","1","34039"
"10923220","CHILDREN'S HOSPITAL OF RICHMOND AT VCU (BROOK ROAD)","36","36","2","51760"
"10927360","NOVANT HEALTH THOMASVILLE MEDICAL CENTER","146","146","2","37057"
"10929601","REGENCY HOSPITAL OF GREENVILLE","32","32","1","45045"
"10930458","EAST GEORGIA REGIONAL MEDICAL CENTER","149","149","1","13031"
"109307030","CAREPOINT HEALTH - HOBOKEN UNIVERSITY MEDICAL CENTER","333","333","1","34017"
"10934637","ADVENTHEALTH CONNERTON","77","77","2","12101"
"10935661","SHOALS HOSPITAL","198","198","1","1033"
"10938701","DELTA REGIONAL MEDICAL CENTER - WEST CAMPUS","98","98","5","28151"
"109408502","EAST MOUNTAIN HOSPITAL","16","16","2","34035"
"10942101","THE MEDICAL CENTER AT BOWLING GREEN","337","337","2","21227"
"1094704","ALTA BATES SUMMIT MEDICAL CENTER - HERRICK CAMPUS","69","69","2","6001"
"10948075","ASCENSION PROVIDENCE HOSPITAL","359","359","2","26125"
"10950138","KNOXVILLE HOSPITAL AND CLINICS","25","25","2","19125"
"109507675","PASCACK VALLEY MEDICAL CENTER, HACKENSACK MERIDIAN HEALTH","128","128","1","34003"
"10953185","LAKEVIEW SPECIALTY HOSPITAL AND REHAB CENTER","39","39","1","55101"
"10956136","HENDRICKS COMMUNITY HOSPITAL","24","24","1","27081"
"109608360","ENCOMPASS HEALTH REHABILITATION HOSPITAL OF VINELAND","30","30","1","34011"
"10961104","SWEDISH AMERICAN HOSPITAL","373","373","2","17201"
"10965351","I-70 COMMUNITY HOSPITAL","15","15","1","29195"
"10966215","OVERLAND PARK REGIONAL MEDICAL CENTER","351","351","1","20091"
"1096826","KAPIOLANI MEDICAL CENTER FOR WOMEN AND CHILDREN","253","253","2","15003"
"10969162","CHEYENNE COUNTY HOSPITAL ASSOCIATION, INC","25","25","5","31033"
